Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
100,Al,N,26.98154,2,1.800630283,2,14.0067,0.573394806,0.819279193,7.977180022,468.733114,621.1104735,-228.78797,-221.15238,-4.4637822
100,Au,N,196.9665,2,1.96862703,2,14.0067,0.572116066,0.820172669,12.70334507,442.39913,464.5400155,-211.59142,-206.45846,-1.9611522
100,Cr,N,51.996,4,2.005321463,1,14.0067,0.205669434,0.978621522,11.08681534,455.375654,511.840108,-556.97307,-546.50606,-7.2952022
100,Cu,N,63.546,4,1.913438829,1,14.0067,0.207794438,0.978172516,9.892874185,243.253,289.4442161,-230.68821,-223.2886,-4.2278022
100,Ir,N,192.22,2,1.860124926,2,14.0067,0.635237084,0.772317193,12.89678061,612.017916,637.8101014,-534.60653,-526.30636,-5.1283622
100,Mo,N,95.94,2,1.898610126,2,14.0067,0.684826289,0.728706357,12.20511766,671.061861,718.8851047,-639.9685,-630.21417,-6.5825222
100,Ni,N,58.6934,4,1.83964089,1,14.0067,0.27222238,0.962234366,9.572362572,286.185408,346.1830737,-326.48909,-317.50829,-5.8089922
100,Pd,N,106.42,4,2.023843201,1,14.0067,0.278366916,0.96047481,11.01136664,270.592016,305.1843648,-320.99728,-313.27311,-4.5523622
100,Pt,N,195.08,2,1.850966615,2,14.0067,0.58789444,0.808937653,12.74824207,568.457164,595.8548886,-380.80305,-373.149,-4.4822422
100,Rh,N,102.9055,4,2.022493912,1,14.0067,0.344310546,0.938855819,11.55573453,354.589289,390.3864616,-436.64054,-427.9503,-5.5184322
100,V,N,50.9415,4,2.001708267,1,14.0067,0.247863412,0.968794988,10.77748322,481.379297,548.7779388,-538.75515,-526.72592,-8.8574222
100,W,N,183.85,2,1.909031956,2,14.0067,0.685075668,0.728471913,13.00808387,692.011725,718.0830941,-758.71835,-748.07192,-7.4746222
110,Ag,N,107.868,2,2.175532736,2,14.0067,0.026565356,0.999647079,12.31919894,291.122957,310.4224577,-158.97143,-153.48222,-2.3174022
110,Al,N,26.98154,2,1.92683705,2,14.0067,0.181339438,0.983420565,2.548967538,387.916638,909.3355465,-222.89817,-213.62586,-6.1005022
110,Au,N,196.9665,2,1.987784111,2,14.0067,0.559365356,0.828921226,12.70368353,444.107174,466.3273303,-198.87196,-193.5769,-2.1232522
110,Cr,N,51.996,3,1.817082627,1,14.0067,0.590394609,0.807114741,11.22305618,583.216824,651.5419577,-577.14118,-565.39807,-8.5713022
110,Cu,N,63.546,2,1.88943081,2,14.0067,0.097358755,0.995249352,11.22308662,378.263233,422.5770298,-216.54229,-209.59645,-3.7740322
110,Fe,N,55.847,3,1.788908426,1,14.0067,0.360020959,0.932944216,9.214125647,383.559765,472.9049852,-499.72856,-490.29765,-6.2591022
